Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S6,EMATent,0.006538752932101488,0.006538752932101488,0.9994693398475647,0.0,0.49803837412036955,0.5,0.0019616258796304464,0.0,0.0,0,64,41,0.640625,23.0,0.359375,0.640625,2,,,,,,,,,,,,,,,,,,,,,,
S6,EMATent,0.48831188678741455,0.48831188678741455,0.8938112854957581,1.0,0.3535064339637757,0.5,0.14649356603622435,0.0,0.0,1,64,35,0.546875,29.0,0.453125,0.546875,2,,,,,,,,,,,,,,,,,,,,,,
S6,EMATent,0.8689994215965271,0.8689994215965271,0.7110594511032104,1.0,0.23930017352104188,0.5,0.2606998264789581,0.0,0.0,2,64,22,0.34375,42.0,0.65625,0.65625,2,,,,,,,,,,,,,,,,,,,,,,
S6,EMATent,0.886746346950531,0.886746346950531,0.6976674795150757,1.0,0.2339760959148407,0.5,0.2660239040851593,0.0,0.0,3,62,29,0.46774193548387094,33.0,0.532258064516129,0.532258064516129,2,,,,,,,,,,,,,,,,,,,,,,
S6,DynaMixEMATent,,,,,,,,,,0,64,41,0.640625,23.0,0.359375,0.640625,2,0.002273234538733959,0.006538752932101488,0.006538752932101488,0.004265518393367529,0.9947807390671835,0.003257635053186053,0.0019616258796304464,0.0032640378743524767,0.41848018765449524,0.19999999999999996,0.0,0.006178130395710468,0.2,0.0,1.0,0.0,0.0,64.0,1.0,1.0,1.0,0.140625
S6,DynaMixEMATent,,,,,,,,,,1,64,35,0.546875,29.0,0.453125,0.546875,2,0.0018403524300083518,0.005340188276022673,0.005340188276022673,0.0034998359624296427,0.9924855638641527,0.0059123796530406135,0.0016020564828068018,0.0059218668181669765,0.7602522373199463,0.19999999999999996,0.0,0.0006187420221976936,0.2,0.0,1.0,0.0,0.0,64.0,1.0,1.0,1.0,0.046875
S6,DynaMixEMATent,,,,,,,,,,2,64,22,0.34375,42.0,0.65625,0.65625,2,0.00020831776782870293,0.0009670289582572877,0.0009670289582572877,0.0007587111904285848,0.9933093468981364,0.006400544414386455,0.0002901086874771863,0.006402401806771318,0.8221420906484127,0.19999999999999996,0.0,0.003762154607102275,0.2,0.0,1.0,0.0,0.0,64.0,1.0,1.0,1.0,0.15625
S6,DynaMixEMATent,,,,,,,,,,3,62,29,0.46774193548387094,33.0,0.532258064516129,0.532258064516129,2,0.0030968382488936186,0.007662567310035229,0.007662567310035229,0.004565729293972254,0.9876410494256617,0.010060180381327746,0.0022987701930105684,0.010083359708070061,1.2972212638705969,0.19999999999999996,0.0,0.004620259627699852,0.2,0.0,1.0,0.0,0.0,62.0,1.0,1.0,1.0,0.032258064516129004
S7,EMATent,0.031946662813425064,0.031946662813425064,0.9967011213302612,0.0,0.4904160011559725,0.5,0.00958399884402752,0.0,0.0,0,64,52,0.8125,12.0,0.1875,0.8125,2,,,,,,,,,,,,,,,,,,,,,,
S7,EMATent,0.24194350838661194,0.24194350838661194,0.978613555431366,1.0,0.42741694748401643,0.5,0.07258305251598358,0.0,0.0,1,64,31,0.484375,33.0,0.515625,0.515625,2,,,,,,,,,,,,,,,,,,,,,,
S7,EMATent,0.7933394312858582,0.7933394312858582,0.946856677532196,1.0,0.2619981706142426,0.5,0.23800182938575742,0.0,0.0,2,64,54,0.84375,10.0,0.15625,0.84375,2,,,,,,,,,,,,,,,,,,,,,,
S7,EMATent,0.9966093897819519,0.9966093897819519,0.8436617851257324,1.0,0.20101718306541444,0.5,0.29898281693458556,0.0,0.0,3,38,27,0.7105263157894737,11.0,0.2894736842105263,0.7105263157894737,2,,,,,,,,,,,,,,,,,,,,,,
S7,DynaMixEMATent,,,,,,,,,,0,64,52,0.8125,12.0,0.1875,0.8125,2,0.013565139845013618,0.031946662813425064,0.031946662813425064,0.018381524831056595,0.9747214390605117,0.015694562095460853,0.00958399884402752,0.01584643430350763,2.044586420059204,0.19999999999999996,0.0,0.005526684690266848,0.2,0.0,1.0,64.0,1.0,0.0,0.0,1.0,1.0,0.3125
S7,DynaMixEMATent,,,,,,,,,,1,64,31,0.484375,33.0,0.515625,0.515625,2,0.02820644900202751,0.050411149859428406,0.050411149859428406,0.022204700857400894,0.9451441955028708,0.03973245953930072,0.015123344957828522,0.04034257420549725,5.270900011062622,0.19999999999999996,0.0,0.02397574670612812,0.2,0.0,1.0,64.0,1.0,0.0,0.0,1.0,1.0,0.015625
S7,DynaMixEMATent,,,,,,,,,,2,64,54,0.84375,10.0,0.15625,0.84375,2,0.0631709173321724,0.10735854506492615,0.10735854506492615,0.04418763518333435,0.8802090713130523,0.08758336516746992,0.032207563519477844,0.09049808808795401,12.141846895217896,0.19999999999999996,0.0,0.1297478973865509,0.2,0.0,1.0,63.0,0.984375,1.0,0.015625,0.984375,2.0,0.34375
S7,DynaMixEMATent,,,,,,,,,,3,38,27,0.7105263157894737,11.0,0.2894736842105263,0.7105263157894737,2,0.1772225797176361,0.37610188126564026,0.37610188126564026,0.19887931644916534,0.7216372293447578,0.16553220627555015,0.11283056437969208,0.18658465861124962,26.433718383312225,0.19999999999999996,1.0,0.49367257952690125,0.2,0.0,1.0,22.0,0.5789473684210527,16.0,0.42105263157894735,0.5789473684210527,2.0,0.21052631578947367
S8,EMATent,0.997788667678833,0.997788667678833,0.8655735850334167,1.0,0.2006633996963501,0.5,0.2993366003036499,0.0,0.0,0,64,52,0.8125,12.0,0.1875,0.8125,2,,,,,,,,,,,,,,,,,,,,,,
S8,EMATent,0.1426773965358734,0.1426773965358734,0.9797794222831726,0.0,0.457196781039238,0.5,0.04280321896076202,0.0,0.0,1,64,9,0.140625,55.0,0.859375,0.859375,2,,,,,,,,,,,,,,,,,,,,,,
S8,EMATent,0.9870588779449463,0.9870588779449463,0.8363127708435059,1.0,0.2038823366165161,0.5,0.2961176633834839,0.0,0.0,2,64,34,0.53125,30.0,0.46875,0.53125,2,,,,,,,,,,,,,,,,,,,,,,
S8,EMATent,0.4644617736339569,0.4644617736339569,0.9014251828193665,1.0,0.3606614679098129,0.5,0.13933853209018707,0.0,0.0,3,64,34,0.53125,30.0,0.46875,0.53125,2,,,,,,,,,,,,,,,,,,,,,,
S8,EMATent,0.9915264248847961,0.9915264248847961,0.8146069049835205,1.0,0.20254207253456116,0.5,0.2974579274654388,0.0,0.0,4,16,0,0.0,16.0,1.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,
S8,DynaMixEMATent,,,,,,,,,,0,64,52,0.8125,12.0,0.1875,0.8125,2,0.5813769698143005,0.997788667678833,0.997788667678833,0.41641169786453247,0.4254439731022938,0.27521942659405624,0.2993366003036499,0.3927983489837338,63.85847473144531,0.19999999999999996,1.0,0.3013540804386139,0.2,0.0,1.0,20.0,0.3125,44.0,0.6875,0.6875,2.0,0.3125
