Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes
S3,EMATentMinGate050,0.4866589307785034,0.7433294653892517,0.9399929642677307,1,0.2770011603832245,0.5,0.2229988396167755,0.0,0.5,0,64,37,0.578125,16,0.25,11,0.171875,0.578125,3
S3,EMATentMinGate050,0.6216166615486145,0.8108083307743073,0.8932176828384399,1,0.2567575007677078,0.5,0.24324249923229216,0.0,0.5,1,64,32,0.5,22,0.34375,10,0.15625,0.5,3
S3,EMATentMinGate050,0.577892541885376,0.788946270942688,0.909089982509613,1,0.2633161187171936,0.5,0.23668388128280637,0.0,0.5,2,64,32,0.5,21,0.328125,11,0.171875,0.5,3
S3,EMATentMinGate050,0.6495363116264343,0.8247681558132172,0.9176112413406372,1,0.25256955325603486,0.5,0.24743044674396514,0.0,0.5,3,64,34,0.53125,21,0.328125,9,0.140625,0.53125,3
S3,EMATentMinGate050,0.666872501373291,0.8334362506866455,0.8886258602142334,1,0.24996912479400635,0.5,0.25003087520599365,0.0,0.5,4,64,31,0.484375,22,0.34375,11,0.171875,0.484375,3
S3,EMATentMinGate050,0.6530016660690308,0.8265008330345154,0.9148513674736023,1,0.2520497500896454,0.5,0.2479502499103546,0.0,0.5,5,64,38,0.59375,13,0.203125,13,0.203125,0.59375,3
S3,EMATentMinGate050,0.6909704804420471,0.8454852402210236,0.9095948338508606,1,0.24635442793369294,0.5,0.25364557206630706,0.0,0.5,6,47,24,0.5106382978723404,13,0.2765957446808511,10,0.2127659574468085,0.5106382978723404,3
S4,EMATent,0.8339060544967651,0.8339060544967651,0.8949775099754333,1,0.24982818365097048,0.5,0.2501718163490295,0.0,0.0,0,64,34,0.53125,15,0.234375,15,0.234375,0.53125,3
S4,EMATent,0.8607391119003296,0.8607391119003296,0.8594217300415039,1,0.24177826642990113,0.5,0.25822173357009887,0.0,0.0,1,64,36,0.5625,17,0.265625,11,0.171875,0.5625,3
S4,EMATent,0.9073548913002014,0.9073548913002014,0.8444651365280151,1,0.2277935326099396,0.5,0.27220646739006044,0.0,0.0,2,64,38,0.59375,19,0.296875,7,0.109375,0.59375,3
S4,EMATent,0.856353759765625,0.856353759765625,0.8689575791358948,1,0.24309387207031252,0.5,0.2569061279296875,0.0,0.0,3,64,31,0.484375,23,0.359375,10,0.15625,0.484375,3
S4,EMATent,0.8830066323280334,0.8830066323280334,0.8458154797554016,1,0.23509801030158997,0.5,0.26490198969841,0.0,0.0,4,64,33,0.515625,19,0.296875,12,0.1875,0.515625,3
S4,EMATent,0.8201676607131958,0.8201676607131958,0.8501970767974854,1,0.25394970178604126,0.5,0.24605029821395874,0.0,0.0,5,64,38,0.59375,16,0.25,10,0.15625,0.59375,3
S4,EMATent,0.8405368328094482,0.8405368328094482,0.8470954895019531,1,0.24783895015716553,0.5,0.25216104984283444,0.0,0.0,6,50,22,0.44,18,0.36,10,0.2,0.44,3
S4,EMATentProbe025,0.850563645362854,0.850563645362854,0.876291811466217,1,0.2448309063911438,0.5,0.2551690936088562,0.25,0.0,0,64,34,0.53125,15,0.234375,15,0.234375,0.53125,3
S4,EMATentProbe025,0.874723494052887,0.874723494052887,0.85439133644104,1,0.2375829517841339,0.5,0.2624170482158661,0.25,0.0,1,64,36,0.5625,17,0.265625,11,0.171875,0.5625,3
S4,EMATentProbe025,0.9027745127677917,0.9027745127677917,0.8436858654022217,1,0.22916764616966248,0.5,0.2708323538303375,0.25,0.0,2,64,38,0.59375,19,0.296875,7,0.109375,0.59375,3
S4,EMATentProbe025,0.8578091263771057,0.8578091263771057,0.862174391746521,1,0.2426572620868683,0.5,0.2573427379131317,0.25,0.0,3,64,31,0.484375,23,0.359375,10,0.15625,0.484375,3
S4,EMATentProbe025,0.8684929013252258,0.8684929013252258,0.8500315546989441,1,0.23945212960243226,0.5,0.2605478703975677,0.25,0.0,4,64,33,0.515625,19,0.296875,12,0.1875,0.515625,3
S4,EMATentProbe025,0.8069162368774414,0.8069162368774414,0.8629086017608643,1,0.25792512893676756,0.5,0.24207487106323242,0.25,0.0,5,64,38,0.59375,16,0.25,10,0.15625,0.59375,3
S4,EMATentProbe025,0.8309952616691589,0.8309952616691589,0.8821389079093933,1,0.25070142149925234,0.5,0.24929857850074766,0.25,0.0,6,50,22,0.44,18,0.36,10,0.2,0.44,3
S4,EMATentProbe050,0.8631561398506165,0.8631561398506165,0.8573455214500427,1,0.24105315804481509,0.5,0.2589468419551849,0.5,0.0,0,64,34,0.53125,15,0.234375,15,0.234375,0.53125,3
S4,EMATentProbe050,0.8725854754447937,0.8725854754447937,0.8399564027786255,1,0.2382243573665619,0.5,0.2617756426334381,0.5,0.0,1,64,36,0.5625,17,0.265625,11,0.171875,0.5625,3
S4,EMATentProbe050,0.8885886073112488,0.8885886073112488,0.8439452648162842,1,0.23342341780662537,0.5,0.2665765821933746,0.5,0.0,2,64,38,0.59375,19,0.296875,7,0.109375,0.59375,3
S4,EMATentProbe050,0.8563728928565979,0.8563728928565979,0.8635948896408081,1,0.24308813214302064,0.5,0.25691186785697934,0.5,0.0,3,64,31,0.484375,23,0.359375,10,0.15625,0.484375,3
S4,EMATentProbe050,0.8553423285484314,0.8553423285484314,0.8524391055107117,1,0.2433973014354706,0.5,0.2566026985645294,0.5,0.0,4,64,33,0.515625,19,0.296875,12,0.1875,0.515625,3
S4,EMATentProbe050,0.7994583249092102,0.7994583249092102,0.8694979548454285,1,0.26016250252723694,0.5,0.23983749747276306,0.5,0.0,5,64,38,0.59375,16,0.25,10,0.15625,0.59375,3
S4,EMATentProbe050,0.8275277614593506,0.8275277614593506,0.8968332409858704,1,0.25174167156219485,0.5,0.24825832843780515,0.5,0.0,6,50,22,0.44,18,0.36,10,0.2,0.44,3
S4,EMATentProbe100,0.8504762649536133,0.8504762649536133,0.8316165208816528,1,0.24485712051391603,0.5,0.255142879486084,1.0,0.0,0,64,34,0.53125,15,0.234375,15,0.234375,0.53125,3
S4,EMATentProbe100,0.8429161906242371,0.8429161906242371,0.8456105589866638,1,0.2471251428127289,0.5,0.2528748571872711,1.0,0.0,1,64,36,0.5625,17,0.265625,11,0.171875,0.5625,3
S4,EMATentProbe100,0.8707584142684937,0.8707584142684937,0.8481117486953735,1,0.23877247571945193,0.5,0.2612275242805481,1.0,0.0,2,64,38,0.59375,19,0.296875,7,0.109375,0.59375,3
