Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_max_class_ratio,true_num_present_classes,true_class_1_count,true_class_1_ratio
S5,EMATent,0.0031911442056298256,0.0031911442056298256,0.9997633695602417,0,0.49904265673831105,0.5,0.0009573432616889477,0.0,0.0,2,64,64,1.0,1.0,1,,
S5,EMATent,0.03299287334084511,0.03299287334084511,0.9965736865997314,0,0.4901021379977465,0.5,0.009897862002253533,0.0,0.0,3,64,64,1.0,1.0,1,,
S5,EMATent,0.3161366879940033,0.3161366879940033,0.9703027606010437,1,0.405158993601799,0.5,0.09484100639820099,0.0,0.0,4,64,64,1.0,1.0,1,,
S5,EMATent,0.006530617829412222,0.006530617829412222,0.9994701147079468,0,0.49804081465117633,0.5,0.0019591853488236666,0.0,0.0,5,64,64,1.0,1.0,1,,
S5,EMATent,0.5931428074836731,0.5931428074836731,0.9971427917480469,1,0.32205715775489807,0.5,0.17794284224510193,0.0,0.0,6,64,9,0.140625,0.859375,2,55.0,0.859375
S5,EMATent,0.290155827999115,0.290155827999115,0.9491122961044312,1,0.4129532516002655,0.5,0.08704674839973449,0.0,0.0,7,64,0,0.0,1.0,1,64.0,1.0
S5,EMATent,0.43246906995773315,0.43246906995773315,0.9481549263000488,1,0.3702592790126801,0.5,0.12974072098731995,0.0,0.0,8,64,54,0.84375,0.84375,2,10.0,0.15625
S5,EMATent,0.0065725999884307384,0.0065725999884307384,0.9994663000106812,0,0.4980282200034708,0.5,0.0019717799965292214,0.0,0.0,9,26,26,1.0,1.0,1,,
S6,EMATent,0.00027996712015010417,0.00027996712015010417,0.9999839067459106,0,0.49991600986395496,0.5,8.399013604503125e-05,0.0,0.0,0,64,64,1.0,1.0,1,,
S6,EMATent,0.00039334784378297627,0.00039334784378297627,0.999976634979248,0,0.4998819956468651,0.5,0.00011800435313489287,0.0,0.0,1,64,64,1.0,1.0,1,,
S6,EMATent,0.3661907911300659,0.3661907911300659,0.9737344980239868,1,0.39014276266098025,0.5,0.10985723733901977,0.0,0.0,2,64,64,1.0,1.0,1,,
S6,EMATent,0.7362577319145203,0.7362577319145203,0.9407356381416321,1,0.2791226804256439,0.5,0.22087731957435608,0.0,0.0,3,64,44,0.6875,0.6875,2,20.0,0.3125
S6,EMATent,0.7585365176200867,0.7585365176200867,0.9333947896957397,1,0.272439044713974,0.5,0.227560955286026,0.0,0.0,4,64,0,0.0,1.0,1,64.0,1.0
S6,EMATent,0.26839831471443176,0.26839831471443176,0.9674693942070007,1,0.4194805055856705,0.5,0.08051949441432953,0.0,0.0,5,64,18,0.28125,0.71875,2,46.0,0.71875
S6,EMATent,0.40354982018470764,0.40354982018470764,0.9858419895172119,1,0.3789350539445877,0.5,0.12106494605541229,0.0,0.0,6,64,64,1.0,1.0,1,,
S6,EMATent,0.0006123878993093967,0.0006123878993093967,0.9999620318412781,0,0.4998162836302072,0.5,0.000183716369792819,0.0,0.0,7,64,64,1.0,1.0,1,,
S6,EMATent,0.6354467272758484,0.6354467272758484,0.9713922142982483,1,0.3093659818172455,0.5,0.19063401818275452,0.0,0.0,8,64,64,1.0,1.0,1,,
S6,EMATent,0.0006016164552420378,0.0006016164552420378,0.9999627470970154,0,0.49981951506342737,0.5,0.00018048493657261134,0.0,0.0,9,22,22,1.0,1.0,1,,
S7,EMATent,0.0006839908892288804,0.0006839908892288804,0.9999571442604065,0,0.49979480273323135,0.5,0.0002051972667686641,0.0,0.0,0,64,64,1.0,1.0,1,,
S7,EMATent,0.0001781417231541127,0.0001781417231541127,0.9999901056289673,0,0.4999465574830538,0.5,5.3442516946233806e-05,0.0,0.0,1,64,64,1.0,1.0,1,,
S7,EMATent,0.0009300379315391183,0.0009300379315391183,0.9999397993087769,0,0.49972098862053826,0.5,0.0002790113794617355,0.0,0.0,2,64,64,1.0,1.0,1,,
S7,EMATent,0.010344822891056538,0.010344822891056538,0.9991058111190796,0,0.49689655313268305,0.5,0.003103446867316961,0.0,0.0,3,64,64,1.0,1.0,1,,
S7,EMATent,0.01577516458928585,0.01577516458928585,0.9985487461090088,0,0.49526745062321426,0.5,0.004732549376785755,0.0,0.0,4,64,64,1.0,1.0,1,,
S7,EMATent,0.03902137652039528,0.03902137652039528,0.9958235025405884,0,0.4882935870438814,0.5,0.011706412956118583,0.0,0.0,5,64,64,1.0,1.0,1,,
S7,EMATent,0.6781452298164368,0.6781452298164368,0.9718176126480103,1,0.29655643105506896,0.5,0.203443568944931,0.0,0.0,6,64,7,0.109375,0.890625,2,57.0,0.890625
S7,EMATent,0.2638099789619446,0.2638099789619446,0.9703187942504883,1,0.42085700631141665,0.5,0.07914299368858337,0.0,0.0,7,64,0,0.0,1.0,1,64.0,1.0
S7,EMATent,0.4978211522102356,0.4978211522102356,0.9999166131019592,1,0.3506536543369293,0.5,0.14934634566307067,0.0,0.0,8,64,57,0.890625,0.890625,2,7.0,0.109375
S7,EMATent,0.001959719927981496,0.001959719927981496,0.9998626708984375,0,0.49941208402160553,0.5,0.0005879159783944487,0.0,0.0,9,21,21,1.0,1.0,1,,
S8,EMATent,0.0005566402687691152,0.0005566402687691152,0.9999657869338989,0,0.49983300791936924,0.5,0.00016699208063073457,0.0,0.0,0,64,64,1.0,1.0,1,,
S8,EMATent,0.024108469486236572,0.024108469486236572,0.9976271390914917,0,0.492767459154129,0.5,0.007232540845870971,0.0,0.0,1,64,64,1.0,1.0,1,,
S8,EMATent,0.8846980333328247,0.8846980333328247,0.8525086641311646,1,0.2345905900001526,0.5,0.2654094099998474,0.0,0.0,2,64,64,1.0,1.0,1,,
S8,EMATent,0.6739935874938965,0.6739935874938965,0.8934295773506165,1,0.29780192375183107,0.5,0.20219807624816893,0.0,0.0,3,64,64,1.0,1.0,1,,
S8,EMATent,0.07086209207773209,0.07086209207773209,0.9914729595184326,0,0.47874137237668035,0.5,0.021258627623319624,0.0,0.0,4,64,64,1.0,1.0,1,,
