Subject,Method,batch_size,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_max_class_ratio,pred_num_present_classes,batch_index,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_max_class_ratio,true_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S4,NOTE,64,,,,,,,,,,,,,,,,,,,,,,3,38,0.59375,26.0,0.40625,0.59375,2,,,,64.0,1.0,0.5651923418045044,,
S4,NOTE,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,,,64.0,0.0,,,
S4,DELTA,64,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,64.0,1.0,1.0,1,,,,,,,0.24686868488788605,6.0
S4,DELTA,64,,,,,,,,,,,,,,,,,,,,,,1,31,0.484375,33.0,0.515625,0.515625,2,,,,,,,0.20285049080848694,25.0
S4,DELTA,64,,,,,,,,,,,,,,,,,,,,,,2,23,0.359375,41.0,0.640625,0.640625,2,,,,,,,0.25335171818733215,15.0
S4,DELTA,64,,,,,,,,,,,,,,,,,,,,,,3,38,0.59375,26.0,0.40625,0.59375,2,,,,,,,0.028630128130316734,51.0
S4,DELTA,11,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,11.0,1.0,1.0,1,,,,,,,0.17525382339954376,5.0
S5,DynaMixEMATent,64,0.005701187998056412,0.015605826862156391,0.015605826862156391,0.00990463886409998,0.9875820913324431,0.007736160608909958,0.0046817480586469175,0.007772549728512157,0.998772919178009,0.19999999999999996,0.0,0.0008741772617213428,0.2,0.0,1.0,64.0,1.0,0.0,0.0,1.0,1.0,0,16,0.25,48.0,0.75,0.75,2,0.25,,,,,,,
S5,DynaMixEMATent,64,4.583594636642374e-05,0.00021632705465890467,0.00021632705465890467,0.0001704910973785445,0.9920557465266631,0.00787935535693925,6.48981163976714e-05,0.007879866745448494,1.012617850676179,0.19999999999999996,0.0,9.922600293066353e-05,0.2,0.0,1.0,64.0,1.0,0.0,0.0,1.0,1.0,1,40,0.625,24.0,0.375,0.625,2,0.125,,,,,,,
S5,DynaMixEMATent,64,4.09684707847191e-06,2.1089595975354314e-05,2.1089595975354314e-05,1.6992747987387702e-05,0.9921033946456838,0.007890278475523628,6.326878792606294e-06,0.007890328396675028,1.0139675848186016,0.19999999999999996,0.0,0.00013425163342617452,0.2,0.0,1.0,64.0,1.0,0.0,0.0,1.0,1.0,2,51,0.796875,13.0,0.203125,0.796875,2,0.296875,,,,,,,
S5,DynaMixEMATent,64,2.6330446871725144e-06,1.35737191158114e-05,1.35737191158114e-05,1.0940674656012561e-05,0.9920988983591811,0.007897029525084191,4.07211573474342e-06,0.007897061682833328,1.0148363028420135,0.19999999999999996,0.0,2.6735033316072077e-06,0.2,0.0,1.0,64.0,1.0,0.0,0.0,1.0,1.0,3,15,0.234375,49.0,0.765625,0.765625,2,0.265625,,,,,,,
S5,DynaMixEMATent,38,0.00012248926213942468,0.0006512842955999076,0.0006512842955999076,0.0005287950625643134,0.9917173288890853,0.008087285822234743,0.00019538528867997227,0.008088866267705552,1.03958510607481,0.19999999999999996,0.0,0.00038492202293127775,0.2,0.0,1.0,38.0,1.0,0.0,0.0,1.0,1.0,4,0,0.0,38.0,1.0,1.0,1,0.5,,,,,,,
S5,TEMA,64,,,,,,,,,,,,,,,,,,,,,,0,16,0.25,48.0,0.75,0.75,2,,,,,,,,
S5,TEMA,64,,,,,,,,,,,,,,,,,,,,,,1,40,0.625,24.0,0.375,0.625,2,,,,,,,,
S5,TEMA,64,,,,,,,,,,,,,,,,,,,,,,2,51,0.796875,13.0,0.203125,0.796875,2,,,,,,,,
S5,TEMA,64,,,,,,,,,,,,,,,,,,,,,,3,15,0.234375,49.0,0.765625,0.765625,2,,,,,,,,
S5,TEMA,38,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,38.0,1.0,1.0,1,,,,,,,,
S5,DUA,64,,,,,,,,,,,,,,,,,,,,,,0,16,0.25,48.0,0.75,0.75,2,,0.099,,,,,,
S5,DUA,64,,,,,,,,,,,,,,,,,,,,,,1,40,0.625,24.0,0.375,0.625,2,,0.09336,,,,,,
S5,DUA,64,,,,,,,,,,,,,,,,,,,,,,2,51,0.796875,13.0,0.203125,0.796875,2,,0.0880584,,,,,,
S5,DUA,64,,,,,,,,,,,,,,,,,,,,,,3,15,0.234375,49.0,0.765625,0.765625,2,,0.083074896,,,,,,
S5,DUA,38,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,38.0,1.0,1.0,1,,0.07839040223999999,,,,,,
S5,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,0,16,0.25,48.0,0.75,0.75,2,,,57.0,,,,,
S5,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,1,40,0.625,24.0,0.375,0.625,2,,,64.0,,,,,
S5,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,2,51,0.796875,13.0,0.203125,0.796875,2,,,64.0,,,,,
S5,RoTTA,64,,,,,,,,,,,,,,,,,,,,,,3,15,0.234375,49.0,0.765625,0.765625,2,,,64.0,,,,,
S5,RoTTA,38,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,38.0,1.0,1.0,1,,,64.0,,,,,
S5,NOTE,64,,,,,,,,,,,,,,,,,,,,,,0,16,0.25,48.0,0.75,0.75,2,,,,64.0,1.0,0.5862281322479248,,
S5,NOTE,64,,,,,,,,,,,,,,,,,,,,,,1,40,0.625,24.0,0.375,0.625,2,,,,64.0,1.0,0.5900911688804626,,
S5,NOTE,64,,,,,,,,,,,,,,,,,,,,,,2,51,0.796875,13.0,0.203125,0.796875,2,,,,64.0,1.0,0.5653907060623169,,
S5,NOTE,64,,,,,,,,,,,,,,,,,,,,,,3,15,0.234375,49.0,0.765625,0.765625,2,,,,64.0,1.0,0.5300664901733398,,
S5,NOTE,38,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,38.0,1.0,1.0,1,,,,64.0,0.0,,,
S5,DELTA,64,,,,,,,,,,,,,,,,,,,,,,0,16,0.25,48.0,0.75,0.75,2,,,,,,,0.1560206413269043,8.0
S5,DELTA,64,,,,,,,,,,,,,,,,,,,,,,1,40,0.625,24.0,0.375,0.625,2,,,,,,,0.05134868994355202,31.0
S5,DELTA,64,,,,,,,,,,,,,,,,,,,,,,2,51,0.796875,13.0,0.203125,0.796875,2,,,,,,,0.08741961419582367,32.0
S5,DELTA,64,,,,,,,,,,,,,,,,,,,,,,3,15,0.234375,49.0,0.765625,0.765625,2,,,,,,,0.1771136075258255,25.0
S5,DELTA,38,,,,,,,,,,,,,,,,,,,,,,4,0,0.0,38.0,1.0,1.0,1,,,,,,,0.2608323097229004,1.0
S6,DynaMixEMATent,64,0.20065025985240936,0.9941678047180176,0.9941678047180176,0.793517529964447,0.4268756813091869,0.2748739772754079,0.29825034141540524,0.39169805629805277,63.626739501953125,0.19999999999999996,1.0,0.5367425084114075,0.2,0.0,1.0,43.0,0.671875,21.0,0.328125,0.671875,2.0,0,39,0.609375,25.0,0.390625,0.609375,2,0.109375,,,,,,,
S6,DynaMixEMATent,64,0.37108340859413147,0.9880098700523376,0.9880098700523376,0.6169264912605286,0.2611557485513165,0.4424412904329822,0.2964029610157013,0.6288276753860182,126.85937118530273,0.19999999999999996,1.0,0.6324990391731262,0.2,0.0,1.0,30.0,0.46875,34.0,0.53125,0.53125,2.0,1,41,0.640625,23.0,0.359375,0.640625,2,0.140625,,,,,,,
S6,DynaMixEMATent,64,0.3253888487815857,0.9990754127502441,0.9990754127502441,0.6736865639686584,0.15772451960472386,0.5425528565702029,0.29972262382507325,0.7747685060650527,190.80019760131836,0.19999999999999996,1.0,0.6135437488555908,0.2,0.0,1.0,31.0,0.484375,33.0,0.515625,0.515625,2.0,2,55,0.859375,9.0,0.140625,0.859375,2,0.359375,,,,,,,
S6,DynaMixEMATent,62,0.4048210680484772,0.9559930562973022,0.9559930562973022,0.5511720180511475,0.10109686598383352,0.6121052171269759,0.28679791688919065,0.8582493400147203,250.0717670917511,0.19999999999999996,1.0,0.6112709641456604,0.2,0.0,1.0,38.0,0.6129032258064516,24.0,0.3870967741935484,0.6129032258064516,2.0,3,0,0.0,62.0,1.0,1.0,1,0.5,,,,,,,
