Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,g_mi,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance
S15,EMATent,0.6225892305374146,0.6225892305374146,0.8602321743965149,1.0,0.3132232308387756,0.5,0.18677676916122435,0.0,0.0,4,64,0,0.0,10,0.15625,54,0.84375,0.84375,2,,,,,,,,,,,,,,,,,,,,,,,
S15,EMATent,0.3305525481700897,0.3305525481700897,0.9041790962219238,1.0,0.40083423554897313,0.5,0.09916576445102691,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S15,EMATent,0.3324192464351654,0.3324192464351654,0.9214603304862976,1.0,0.4002742260694504,0.5,0.09972577393054961,0.0,0.0,6,63,0,0.0,63,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,
S15,MIDynamicEMATent,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.025670869275927544,0.1083436831831932,0.08267281204462051,0.9891196960929354,0.0031790431242864235,0.007701260782778263,0.003203715774943161,1.6429356336593628,0.005134173855185507,0.0,0.0870804488658905,0.05,1.0,1.0,63.0,0.984375,0.0,0.0,1.0,0.015625,0.984375,2.0,0.6666666666666667
S15,MIDynamicEMATent,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.02533128298819065,0.18009960651397705,0.15476831793785095,0.9860939189967179,0.006306696106824871,0.007599384896457195,0.006354990122781068,3.2641377449035645,0.005066256597638129,0.0,0.1690393090248108,0.05,1.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667
S15,MIDynamicEMATent,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.04205707460641861,0.26016342639923096,0.21810635924339294,0.97596378621677,0.011419091401304355,0.012617122381925583,0.011565008529266119,5.9557905197143555,0.00841141492128372,0.0,0.33675462007522583,0.05,1.0,1.0,62.0,0.96875,1.0,0.015625,1.0,0.015625,0.96875,3.0,0.6666666666666667
S15,MIDynamicEMATent,,,,,,,,,,3,64,43,0.671875,0,0.0,21,0.328125,0.671875,2,0.3417615592479706,0.7867172360420227,0.4449557065963745,0.8499935851944981,0.04747794703111078,0.10252846777439117,0.052901897526901887,27.828530311584473,0.0683523118495941,1.0,0.5037088990211487,0.05,1.0,1.0,41.0,0.640625,23.0,0.359375,0.0,0.0,0.640625,2.0,0.3385416666666667
S15,MIDynamicEMATent,,,,,,,,,,4,64,0,0.0,10,0.15625,54,0.84375,0.84375,2,0.2749541997909546,0.8061813116073608,0.531227171421051,0.8396168712401999,0.07789686882251365,0.08248625993728638,0.0848999480020749,45.425599098205566,0.05499083995819091,1.0,0.6458027362823486,0.05,1.0,1.0,1.0,0.015625,27.0,0.421875,36.0,0.5625,0.5625,3.0,0.5104166666666667
S15,MIDynamicEMATent,,,,,,,,,,5,64,0,0.0,64,1.0,0,0.0,1.0,1,0.07190433889627457,0.3906421363353729,0.31873780488967896,0.8873486754196236,0.09108002291149413,0.02157130166888237,0.09308805339300363,50.02747678756714,0.014380867779254911,1.0,0.3650873005390167,0.05,1.0,1.0,0.0,0.0,63.0,0.984375,1.0,0.015625,0.984375,2.0,0.6666666666666667
S15,MIDynamicEMATent,,,,,,,,,,6,63,0,0.0,63,1.0,0,0.0,1.0,1,0.05995776876807213,0.33736446499824524,0.2774066925048828,0.8840527017191786,0.09795996765039973,0.017987330630421638,0.09975428088243199,53.80481621995568,0.011991553753614423,1.0,0.3624141216278076,0.05,1.0,1.0,0.0,0.0,63.0,1.0,0.0,0.0,1.0,1.0,0.6666666666666667
